GVKEY,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,datadate,fyear,tic,conm,adrr,pddur,upd,at,capx,ceq,csho,gdwl,oiadp,sale,cik,fic,sich,prcc_f
001109,C,01,LC,85084,7338,19860922,20090424,19901231,1990,AHIX,COREWAFER INDUSTRIES INC,,12,3,2.1270,0.3090,1.3440,0.6830,0.0000,-0.1070,3.9710,0000747435,USA,5190,2.2500
001109,C,01,LC,85084,7338,19860922,20090424,19911231,1991,AHIX,COREWAFER INDUSTRIES INC,,12,3,2.6260,0.1770,1.9310,0.8380,0.0000,0.0010,4.3240,0000747435,USA,5190,3.5000
001115,P,01,LU,10752,58,19791205,20001229,19900930,1990,ADAC.,ADAC LABORATORIES,,12,3,58.9600,1.9930,36.4790,42.7710,0.0000,2.9930,75.7400,0000313798,USA,3844,0.8750
001115,P,01,LU,10752,58,19791205,20001229,19910930,1991,ADAC.,ADAC LABORATORIES,,12,3,60.0540,2.4580,36.9800,42.8950,0.0000,4.8000,101.2370,0000313798,USA,3844,1.4370
001119,P,01,LU,10065,20023,19820129,E,19901231,1990,ADX,ADAMS DIVERSIFIED EQUITY FD,,12,1,,,,29.9830,,,,0000002230,USA,,14.7500
001119,P,01,LU,10065,20023,19820129,E,19911231,1991,ADX,ADAMS DIVERSIFIED EQUITY FD,,12,1,,,,31.4790,,,,0000002230,USA,,19.0000
001121,P,01,LU,61487,59,19750207,E,19901231,1990,AE,ADAMS RESOURCES & ENERGY INC,,12,3,19.5670,1.8480,4.0480,7.5670,0.0000,2.1390,110.0030,0000002178,USA,5172,1.3750
001121,P,01,LU,61487,59,19750207,E,19911231,1991,AE,ADAMS RESOURCES & ENERGY INC,,12,3,20.6140,2.9130,7.3710,8.3220,0.0000,2.3180,119.7560,0000002178,USA,5172,1.7500
001128,P,01,LU,85113,7245,19841002,19950131,19901231,1990,ADIA.,ADIA SERVICES INC,,12,3,243.0780,4.5150,182.4970,12.4710,77.9490,28.4500,666.2410,0000752200,USA,7363,20.0000
001128,P,01,LU,85113,7245,19841002,19950131,19911231,1991,ADIA.,ADIA SERVICES INC,,12,3,241.6200,6.9630,190.1950,12.5440,75.8630,11.4000,643.7110,0000752200,USA,7363,18.0000
001137,P,01,LU,10867,76,19801205,19951031,19900831,1990,ADVC.,ADVANCE CIRCUITS INC,,12,3,33.1810,8.5960,22.2370,5.8210,0.8990,11.4550,88.2740,,USA,3672,7.5000
001137,P,01,LU,10867,76,19801205,19951031,19910831,1991,ADVC.,ADVANCE CIRCUITS INC,,12,3,36.9380,7.9760,25.4770,5.4790,0.8710,8.7330,89.1140,,USA,3672,7.7500
001138,P,01,LU,10875,347,19721214,19960131,19901231,1990,AROS.,ADVANCE ROSS CORP,,12,3,17.4830,0.0140,16.2130,1.8920,0.3120,-0.0360,3.3140,0000002457,USA,3564,10.3750
001138,P,01,LU,10875,347,19721214,19960131,19911231,1991,AROS.,ADVANCE ROSS CORP,,12,3,26.2580,0.1680,22.8390,1.8270,0.3120,0.1910,5.8700,0000002457,USA,3564,9.3750
001141,C,01,LU,10912,55,19780131,19910703,19901231,1990,AVCD,ADVANCED COMPUTER TECHNIQUES,,12,3,3.6480,0.0940,0.4350,1.8910,0.1320,0.0870,5.7880,0000002467,USA,7373,0.5000
001148,P,01,LU,64514,420,19801121,20010228,19900930,1990,ADV.2,ADVEST GROUP INC,,12,3,918.0410,2.2930,80.0000,10.0180,8.3000,-10.4600,210.9270,0000319489,USA,6211,2.3750
001148,P,01,LU,64514,420,19801121,20010228,19910930,1991,ADV.2,ADVEST GROUP INC,,12,3,905.4180,0.6310,73.1780,9.7280,,-1.6130,210.6260,0000319489,USA,6211,3.5000
001151,P,01,LU,10998,6943,19840322,19961231,19900430,1989,AQTN,AEQUITRON MEDICAL INC,,12,3,14.6510,0.4400,8.7890,4.6890,3.3680,1.8270,25.8740,0000736970,USA,3842,1.8120
001151,P,01,LU,10998,6943,19840322,19961231,19910430,1990,AQTN,AEQUITRON MEDICAL INC,,12,3,15.7680,0.1110,10.0410,4.7310,2.9990,1.8440,26.9000,0000736970,USA,3842,2.6250
001154,P,01,LU,85164,7538,19850510,20031223,19901231,1990,AERS.,AERO SYSTEMS ENGINEERING INC,,12,3,24.8400,0.6820,9.4520,2.5520,0.0000,4.2620,34.3640,0000002589,USA,8711,3.7500
001154,P,01,LU,85164,7538,19850510,20031223,19911231,1991,AERS.,AERO SYSTEMS ENGINEERING INC,,12,3,23.4960,0.2180,7.3280,2.5520,0.0000,-2.3410,27.3150,0000002589,USA,8711,2.2500
001155,C,01,LU,11010,87,19750630,19930730,19900228,1989,AESM,AERO SYSTEMS INC,,12,3,30.7260,0.4860,9.7470,8.2770,0.0000,1.6960,40.5580,0000002590,USA,5080,0.8750
001155,C,01,LU,11010,87,19750630,19930730,19910228,1990,AESM,AERO SYSTEMS INC,,12,3,23.8990,0.3530,8.9530,8.2940,0.0000,0.0770,25.3800,0000002590,USA,5080,0.4370
001161,P,01,LU,61241,211,19721214,E,19901231,1990,AMD,ADVANCED MICRO DEVICES,,12,3,1111.6920,304.1880,636.2690,82.3380,0.0000,-51.1200,1059.2420,0000002488,USA,3674,4.8750
001161,P,01,LU,61241,211,19721214,E,19911231,1991,AMD,ADVANCED MICRO DEVICES,,12,3,1291.7580,111.0250,783.3210,84.0310,0.0000,109.1600,1226.6490,0000002488,USA,3674,17.5000
001164,P,01,LC,11042,61,19860822,20020729,19901231,1990,MCIP,MCI INC,,12,3,168.5420,13.1060,39.4110,7.8580,98.3340,26.6660,154.4230,0000723527,USA,4813,18.0000
001164,P,01,LC,11042,61,19860822,20020729,19911231,1991,MCIP,MCI INC,,12,3,337.3430,19.0210,100.1440,14.2270,197.4580,42.7950,263.4080,0000723527,USA,4813,27.5000
001171,P,01,LC,11149,6737,19850731,19921204,19900331,1989,ATEL.1,ADVANCED TELECOMMUNICATIONS,,12,3,294.6460,19.5520,127.7140,20.8730,77.8450,50.8990,332.7420,0000729647,USA,4813,14.0000
001171,P,01,LC,11149,6737,19850731,19921204,19910331,1990,ATEL.1,ADVANCED TELECOMMUNICATIONS,,12,3,352.2840,19.8390,153.9640,20.8470,103.0670,55.0740,350.6850,0000729647,USA,4813,21.0000
001173,C,01,LU,11157,376,19750228,20130628,19900131,1989,AIM.1,AEROSONIC CORP,,12,3,11.9530,1.1520,6.6530,3.8360,0.0000,0.5550,11.1590,0000109471,USA,3812,1.2500
001173,C,01,LU,11157,376,19750228,20130628,19910131,1990,AIM.1,AEROSONIC CORP,,12,3,12.8540,0.4830,7.0880,3.8360,0.0000,1.5340,14.0690,0000109471,USA,3812,1.3120
001177,P,01,LC,46850,20026,19680924,20001213,19901231,1990,AET,AETNA INC,,12,3,89300.6880,0.0000,7072.3980,110.1130,,737.2030,19020.5000,0001122304,USA,6331,39.0000
001177,P,01,LC,46850,20026,19680924,20001213,19911231,1991,AET,AETNA INC,,12,3,91987.5630,247.3000,7384.5000,110.0650,,523.7030,19195.5980,0001122304,USA,6331,44.0000
001178,P,01,LU,11173,94,19740131,19921130,19901231,1990,AFBK.,AFFILIATED BANKSHARES COLO,,12,3,2738.0970,,181.9120,10.2230,,53.6330,275.7940,0000002682,USA,,10.7500
001178,P,01,LU,11173,94,19740131,19921130,19911231,1991,AFBK.,AFFILIATED BANKSHARES COLO,,12,3,2912.1170,,199.2070,10.3740,,69.6880,268.6390,0000002682,USA,,31.5000
001181,P,01,LC,75618,22086,19890608,19931001,19901231,1990,AFP.1,AFFILIATED PUBNS,,12,3,497.5100,27.7960,213.4910,70.1200,210.4170,52.2840,535.9590,0000849696,USA,2711,8.2500
001181,P,01,LC,75618,22086,19890608,19931001,19911231,1991,AFP.1,AFFILIATED PUBNS,,12,3,381.0430,18.7420,130.7400,70.2820,1.2050,30.0690,392.8170,0000849696,USA,2711,8.6250
001183,P,01,LC,11181,6059,19830608,19980309,19900131,1989,IDAI,IDNA INC,,12,3,343.5340,138.7070,147.2880,24.9000,,36.0020,274.3280,0001004981,USA,7510,10.0000
001183,P,01,LC,11181,6059,19830608,19980309,19910131,1990,IDAI,IDNA INC,,12,3,333.5280,155.5710,157.5150,25.6060,,31.0000,278.9530,0001004981,USA,7510,7.8750
001194,P,01,LU,56266,20028,19721214,19981030,19901231,1990,AHM.1,AHMANSON (H F) & CO,,12,3,51201.0000,,2342.1790,115.9460,,654.2770,4778.3440,0000771667,USA,6035,13.5000
001194,P,01,LU,56266,20028,19721214,19981030,19911231,1991,AHM.1,AHMANSON (H F) & CO,,12,3,47226.1990,,2656.3360,116.2580,,830.1630,4592.0820,0000771667,USA,6035,17.3750
001197,C,01,LU,39116,20029,19630423,19950714,19901031,1990,AEENQ,AILEEN INC,,12,3,26.5750,2.1210,20.7340,5.1500,0.0000,1.5830,59.5840,0000002904,USA,2253,3.2500
001197,C,01,LU,39116,20029,19630423,19950714,19911031,1991,AEENQ,AILEEN INC,,12,3,33.9330,4.5490,27.3140,5.3070,0.0000,6.0530,64.9130,0000002904,USA,2253,16.6250
001203,C,01,LU,61081,143,19730131,20000229,19901231,1990,AEIC,AIR EXPRESS INTERNATIONAL CP,,12,3,192.6380,6.3840,52.4320,4.9660,29.6800,22.2940,567.8070,0000700674,USA,4731,15.8750
001203,C,01,LU,61081,143,19730131,20000229,19911231,1991,AEIC,AIR EXPRESS INTERNATIONAL CP,,12,3,208.0790,6.7680,65.2740,7.5110,28.1630,24.6690,601.9390,0000700674,USA,4731,20.2500
001208,P,01,LU,11341,5678,19821105,19910731,19901231,1990,AMWI.,AIR MIDWEST INC,,12,3,46.8480,2.2470,16.2840,3.3550,0.0000,3.3690,81.4450,0000310454,USA,4512,5.5000
001209,P,01,LC,28222,20030,19620131,E,19900930,1990,APD,AIR PRODUCTS & CHEMICALS INC,,12,3,3899.5000,467.5000,1688.4000,55.7000,54.7000,384.3000,2894.7000,0000002969,USA,2810,44.8750
001209,P,01,LC,28222,20030,19620131,E,19910930,1991,APD,AIR PRODUCTS & CHEMICALS INC,,12,3,4227.5000,506.4000,1841.3000,56.2000,64.8000,403.9000,2931.1000,0000002969,USA,2810,67.1250
001210,C,01,LU,11368,6977,19840423,E,19900331,1989,AIRT,AIR T INC,,12,3,5.9810,0.1470,0.7450,15.6740,2.1660,1.3880,17.7220,0000353184,USA,4513,0.1250
001210,C,01,LU,11368,6977,19840423,E,19910331,1990,AIRT,AIR T INC,,12,3,4.8770,0.1650,1.8030,15.5140,2.0010,1.5090,25.9260,0000353184,USA,4513,0.3120
001212,P,01,LU,11376,359,19790131,19920131,19901231,1990,ARWS,AIR WISCONSIN SERVICES INC,,12,3,250.3450,86.3560,89.0600,9.0270,7.9080,-4.2130,206.0690,0000717324,USA,4512,6.6250
001213,P,01,LU,51721,20031,19710105,20030815,19901231,1990,ABF,AIRBORNE INC,,12,3,613.5340,225.4090,263.4170,18.8240,0.0000,64.2960,1181.8900,0000003000,USA,4513,17.0000
001213,P,01,LU,51721,20031,19710105,20030815,19911231,1991,ABF,AIRBORNE INC,,12,3,823.6470,253.1350,287.3440,19.0230,0.0000,59.2570,1367.0470,0000003000,USA,4513,24.2500
001230,P,01,LU,28804,20035,19660131,E,19901231,1990,ALK,ALASKA AIR GROUP INC,,12,3,1021.4040,249.3560,279.8330,13.1790,73.8260,28.4190,1046.9650,0000766421,USA,4512,17.5000
001230,P,01,LU,28804,20035,19660131,E,19911231,1991,ALK,ALASKA AIR GROUP INC,,12,3,1211.6280,213.4110,284.4470,13.2310,71.7910,34.6260,1104.0310,0000766421,USA,4512,21.7500
001234,P,01,LU,11587,392,19721214,E,19901231,1990,ATRI,ATRION CORP,,12,3,38.4870,2.9460,11.2580,2.0740,0.0000,5.0350,89.6390,0000701288,USA,4923,14.2500
001234,P,01,LU,11587,392,19721214,E,19911231,1991,ATRI,ATRION CORP,,12,3,44.8580,0.7440,17.4530,2.0860,0.0000,5.4060,93.8460,0000701288,USA,4923,15.7500
001235,P,01,LU,49584,20036,19691125,19991231,19901231,1990,AWS.1,ALBA-WALDENSIAN INC,,12,3,28.6640,2.3790,22.8800,1.8180,0.0000,2.2320,41.8520,0000003292,USA,2250,8.1250
001235,P,01,LU,49584,20036,19691125,19991231,19911231,1991,AWS.1,ALBA-WALDENSIAN INC,,12,3,29.7670,1.4770,24.2890,1.8180,0.0000,1.8830,39.7280,0000003292,USA,2250,6.1250
001239,P,01,LC,42083,8127,19650611,20110510,19900930,1990,ACV.1,ALBERTO-CULVER CO,,12,3,436.5470,14.3980,230.8680,28.5000,,58.6780,795.8250,0001368457,USA,2844,20.7500
001239,P,01,LC,42083,8127,19650611,20110510,19910930,1991,ACV.1,ALBERTO-CULVER CO,,12,3,574.4130,29.6760,249.4310,28.2390,27.8030,49.9210,873.7190,0001368457,USA,2844,23.5000
001240,P,01,LU,50032,20038,19700210,20060630,19900131,1989,ABS.1,ALBERTSON'S INC,,12,3,1862.6890,296.1470,929.4920,66.9600,0.0000,319.6100,7422.6630,0000003333,USA,5411,52.3750
001240,P,01,LU,50032,20038,19700210,20060630,19910131,1990,ABS.1,ALBERTSON'S INC,,12,3,2013.5100,254.8580,1087.8820,133.8200,0.0000,375.6200,8218.5620,0000003333,USA,5411,38.7500
001243,P,01,LC,24264,20039,19620131,20071114,19901231,1990,AL.1,ALCAN INC,,12,3,10649.0000,1255.0000,4942.0000,222.6670,0.0000,559.0000,8757.0000,0000004285,CAN,3334,19.5000
001243,P,01,LC,24264,20039,19620131,20071114,19911231,1991,AL.1,ALCAN INC,,12,3,10816.0000,819.0000,4730.0000,223.4200,0.0000,98.0000,7748.0000,0000004285,CAN,3334,20.0000
001244,P,01,LC,11624,5686,19830526,20040730,19900531,1989,ALCD.,ALCIDE CORP,,12,3,3.8680,0.0120,2.5420,23.5890,0.0000,-1.8430,2.7140,0000708484,USA,2870,1.0000
001244,P,01,LC,11624,5686,19830526,20040730,19910531,1990,ALCD.,ALCIDE CORP,,12,3,3.7530,0.0090,2.5240,23.6980,0.0000,-0.2440,4.0150,0000708484,USA,2870,0.4688
001246,P,01,LU,48514,20040,19690616,20081031,19900930,1990,IKN,IKON OFFICE SOLUTIONS,,12,3,1738.0830,66.9960,685.7390,40.8870,273.5230,178.5060,4308.5150,0000003370,USA,5110,30.2500
001246,P,01,LU,48514,20040,19690616,20081031,19910930,1991,IKN,IKON OFFICE SOLUTIONS,,12,3,2020.5710,55.2850,821.1950,44.6380,366.2970,191.4150,4752.1240,0000003370,USA,5110,33.8750
001250,C,01,LC,85252,7371,19850107,19970113,19900331,1989,ADNE,ALDEN ELECTRONICS INC,,12,3,14.7710,1.2410,11.9270,2.1650,0.0000,1.1060,19.1090,0000003398,USA,3661,3.6250
001250,C,01,LC,85252,7371,19850107,19970113,19910331,1990,ADNE,ALDEN ELECTRONICS INC,,12,3,15.4910,0.9080,12.3390,2.1650,0.0000,0.8890,17.9720,0000003398,USA,3661,5.0000
